trip_id,ambulance_id,start_time,distance_km,expected_duration_min,time_of_day,congestion_level,avg_speed_kmph,weather_condition,weather_severity,visibility_m,speed_drop_rate,delay_minutes,delay_cause,actual_duration_min,active_trip_time_min,availability_time_min
T1,A16,10-09-2025 12:12,23.43,35.14,Evening Peak,Medium,29.94,Clear,0,981,0.0734,14.29,Traffic,49.43,28.34,27.11
T2,A48,03-09-2025 17:59,24.54,36.81,Afternoon,Medium,19.84,Storm,3,245,0.1404,14.7,Weather,51.51,3.79,56.82
T3,A47,06-09-2025 03:26,24.62,36.93,Morning Peak,Medium,32.12,Storm,3,116,0.1816,12.69,Weather,49.62,17.61,35.39
T4,A46,05-09-2025 01:05,6.2,9.3,Evening Peak,Low,42.47,Clear,0,898,0.0715,0.18,No Delay,9.48,5.2,7.13
T5,A31,09-09-2025 17:55,20.93,31.39,Night,Low,33.59,Clear,0,836,0.0409,1.31,No Delay,32.7,22.59,14.17
T6,A32,30-09-2025 08:14,19.1,28.65,Night,Low,35.73,Clear,0,936,0.0684,0.93,No Delay,29.58,14.42,21.21
T7,A49,02-09-2025 14:02,14.32,21.48,Afternoon,Low,45.26,Clear,0,881,0.1942,-0.36,No Delay,21.12,0.79,26.67
T8,A16,16-09-2025 21:52,10.25,15.37,Evening Peak,Medium,19.92,Clear,0,839,0.3139,4.12,Traffic,19.49,17.39,9.37
T9,A39,13-09-2025 06:13,3.92,5.88,Morning Peak,High,34.95,Rain,1,541,0.2066,2.21,Traffic,8.09,1,12.62
T10,A39,17-09-2025 20:40,15.13,22.7,Evening Peak,Medium,17.52,Clear,0,863,0.1854,5.66,Traffic,28.36,9.39,25.79
T11,A14,06-09-2025 21:19,19.11,28.66,Morning Peak,High,42.61,Rain,1,548,0.2298,9.99,Traffic,38.65,7.06,33.81
T12,A14,20-09-2025 08:31,6.54,9.81,Night,Low,38.09,Clear,0,952,0.0183,0.25,No Delay,10.06,4.02,10.57
T13,A26,15-09-2025 07:15,21.41,32.12,Afternoon,Low,53.74,Clear,0,801,0.0059,1.35,No Delay,33.47,20.72,21.27
T14,A50,05-09-2025 04:45,27.68,41.52,Afternoon,Low,40.42,Clear,0,808,0,0.51,No Delay,42.03,1.82,40.65
T15,A34,11-09-2025 06:50,14.84,22.26,Night,High,37.23,Fog,2,146,0.4545,4.83,Weather,27.09,15.99,14.28
T16,A10,01-09-2025 10:06,24.26,36.39,Night,Medium,38.67,Fog,2,246,0.4668,8.46,Weather,44.85,39.98,10.67
T17,A37,06-09-2025 01:33,8.11,12.16,Night,Low,46.4,Clear,0,941,0.0031,0.14,No Delay,12.3,8.21,8.92
T18,A16,22-09-2025 22:18,10.17,15.25,Night,Low,27.46,Rain,1,650,0.4373,5.05,No Delay,20.3,1.17,20.65
T19,A33,07-09-2025 09:29,27.42,41.13,Evening Peak,Medium,26.55,Rain,1,560,0.0555,15.85,Traffic,56.98,1.12,65.9
T20,A39,10-09-2025 12:48,27.98,41.97,Night,Low,33.66,Clear,0,812,0.0992,1.44,No Delay,43.41,9.13,33.76
T21,A42,02-09-2025 06:14,15.47,23.21,Evening Peak,Low,44.07,Clear,0,958,0,0.75,No Delay,23.96,14.11,15.67
T22,A2,11-09-2025 04:55,26.12,39.18,Evening Peak,Medium,49.11,Fog,2,192,0.3456,7.67,Weather,46.85,7.35,42.79
T23,A49,12-09-2025 17:23,2.92,4.38,Evening Peak,Low,49.13,Clear,0,875,0.0679,0.13,No Delay,4.51,0.86,10.59
T24,A17,04-09-2025 16:23,26.24,39.36,Night,Low,37.5,Clear,0,753,0.0435,-0.22,Weather,39.14,8.62,31.13
T25,A42,06-09-2025 21:39,28.7,43.05,Evening Peak,High,21.35,Rain,1,649,0.6233,14.6,Incident,57.65,18.27,45.55
T26,A22,07-09-2025 05:42,9.7,14.55,Night,Low,43.48,Clear,0,805,0.0933,0.4,No Delay,14.95,9.95,9.31
T27,A12,13-09-2025 05:29,20.19,30.29,Evening Peak,High,22.7,Clear,0,912,1.2011,8.73,Incident,39.02,10.85,32.61
T28,A33,11-09-2025 12:03,24.66,36.99,Night,Low,42.18,Clear,0,902,0,0.79,No Delay,37.78,6.68,35.74
T29,A15,19-09-2025 19:13,15.2,22.8,Night,High,18.02,Clear,0,1013,0.8404,10.08,Traffic,32.88,8.31,27.8
T30,A11,28-09-2025 04:19,14.54,21.81,Morning Peak,Low,46.91,Clear,0,878,0,0.02,No Delay,21.83,18.43,5.6
T31,A12,24-09-2025 22:01,3.13,4.7,Afternoon,High,31.87,Clear,0,888,0.4275,1.55,Traffic,6.25,1.4,7.62
T32,A6,19-09-2025 19:28,20.76,31.14,Afternoon,Low,55.38,Clear,0,803,0,0.74,No Delay,31.88,6.51,28.51
T33,A35,28-09-2025 20:06,26.86,40.29,Afternoon,High,22.48,Clear,0,823,0.8444,18.52,Incident,58.81,43.17,18.29
T34,A20,23-09-2025 06:29,2.83,4.25,Evening Peak,High,18.23,Rain,1,617,1.3438,1.46,Incident,5.71,1.94,10.71
T35,A4,05-09-2025 03:06,23.21,34.82,Afternoon,High,24.25,Rain,1,713,0.1917,18.1,Traffic,52.92,32.85,24.07
T36,A46,17-09-2025 07:28,22.65,33.97,Evening Peak,High,21.7,Storm,3,230,0.6506,11.26,Weather,45.23,19.07,28.48
T37,A44,01-09-2025 13:03,21.39,32.09,Evening Peak,Low,42.34,Fog,2,284,0.0941,8.54,Weather,40.63,35.14,10.13
T38,A32,25-09-2025 13:00,13.86,20.79,Evening Peak,High,8.79,Rain,1,579,1.1096,8.51,Incident,29.3,2.86,28.22
T39,A15,18-09-2025 07:23,4.5,6.75,Afternoon,Medium,19.14,Rain,1,511,0.6938,3.01,Incident,9.76,6.86,9.14
T40,A36,11-09-2025 04:40,25.31,37.96,Morning Peak,High,30.55,Rain,1,619,0.2803,18.99,Traffic,56.95,43.58,16.93
T41,A6,10-09-2025 17:46,29.69,44.54,Afternoon,Medium,30.63,Rain,1,728,0.4827,19.32,Weather,63.86,23.16,45.34
T42,A9,07-09-2025 15:06,5.28,7.92,Evening Peak,High,13.72,Clear,0,822,1.0756,4.8,Incident,12.72,5.55,11.82
T43,A9,09-09-2025 08:44,28.22,42.33,Night,Low,38.99,Clear,0,949,0.0361,0.57,No Delay,42.9,16.56,26.69
T44,A38,05-09-2025 16:39,26.79,40.18,Night,Low,42.65,Clear,0,847,0.0982,0.79,No Delay,40.97,7.52,43.23
T45,A42,06-09-2025 22:15,11.19,16.79,Afternoon,Low,34.43,Clear,0,979,0.0576,0.49,No Delay,17.28,1.79,22.27
T46,A5,27-09-2025 22:00,15.35,23.02,Afternoon,High,28.82,Rain,1,676,0.7823,10.34,Incident,33.36,23.51,15
T47,A48,04-09-2025 13:40,4.17,6.25,Night,High,24.98,Fog,2,214,1.1398,2.66,Incident,8.91,6.95,7.83
T48,A26,02-09-2025 21:39,10,15,Morning Peak,Medium,22.28,Storm,3,190,0.7613,7.15,Incident,22.15,17.3,6.98
T49,A43,08-09-2025 19:42,15.9,23.85,Afternoon,Low,30.53,Rain,1,478,0.2413,8.53,Weather,32.38,12.81,24.81
T50,A5,01-09-2025 12:47,23.27,34.91,Night,High,35.97,Rain,1,586,0.2957,11.76,Weather,46.67,18.33,37.7
T51,A33,14-09-2025 16:06,16.02,24.03,Afternoon,High,17.19,Clear,0,974,0.8164,12.19,Incident,36.22,23.21,17.28
T52,A9,30-09-2025 03:03,23.95,35.92,Night,Medium,11.3,Fog,2,321,0.9674,20.46,Incident,56.38,46.28,17.3
T53,A9,26-09-2025 18:51,6.23,9.35,Afternoon,High,28.69,Rain,1,644,0.2008,2.06,Traffic,11.41,8.33,7.69
T54,A15,18-09-2025 21:10,17.58,26.37,Afternoon,High,38.74,Storm,3,202,0.1462,9.82,Weather,36.19,27.48,10.34
T55,A28,18-09-2025 07:33,5.46,8.19,Night,Low,33.28,Clear,0,970,0,0.07,No Delay,8.26,2.01,12.09
T56,A49,18-09-2025 02:49,18.88,28.32,Night,Medium,36.63,Fog,2,166,0.2984,5.85,Weather,34.17,26.35,9.51
T57,A40,15-09-2025 21:55,17.37,26.05,Night,Low,49.95,Clear,0,803,0.2152,0.59,No Delay,26.64,17.11,16.84
T58,A35,30-09-2025 02:13,2.92,4.38,Afternoon,Low,61.7,Clear,0,980,0.1428,0.03,No Delay,4.41,2.9,5.98
T59,A35,14-09-2025 21:26,2.32,3.48,Evening Peak,High,33.57,Clear,0,934,0.0668,1.78,Traffic,5.26,1.22,9.48
T60,A49,24-09-2025 07:17,4.18,6.27,Morning Peak,Low,32.23,Fog,2,279,0.485,1.37,Weather,7.64,4.64,9.76
T61,A25,01-09-2025 00:54,3.21,4.82,Morning Peak,High,29.08,Clear,0,869,0.162,1.09,Traffic,5.91,2.34,6.19
T62,A30,28-09-2025 11:29,15.64,23.46,Evening Peak,High,22.37,Rain,1,573,0.8751,9.08,Incident,32.54,0.49,34.44
T63,A50,24-09-2025 20:41,5.28,7.92,Afternoon,High,27.46,Clear,0,798,0.8136,2.71,Incident,10.63,2.34,12.89
T64,A24,30-09-2025 04:37,24.06,36.09,Morning Peak,High,19.88,Clear,0,833,1.0773,23.25,Incident,59.34,4.15,59.83
T65,A30,16-09-2025 00:47,16.16,24.24,Afternoon,Low,43.39,Clear,0,1021,0.0561,-0.54,No Delay,23.7,18.26,11.47
T66,A47,05-09-2025 06:21,28.52,42.78,Afternoon,High,39.21,Storm,3,222,0.5526,5.06,Weather,47.84,15.41,40.15
T67,A28,24-09-2025 14:26,13.31,19.96,Morning Peak,Low,23.51,Fog,2,183,0.1523,4.43,Weather,24.39,14.52,15.42
T68,A21,10-09-2025 04:02,6.16,9.24,Morning Peak,Medium,24.42,Clear,0,903,0.1053,3.05,Traffic,12.29,7.21,12.46
T69,A19,18-09-2025 19:45,25.19,37.79,Evening Peak,Medium,19.5,Fog,2,220,0.3462,9.07,Weather,46.86,7.47,48.57
T70,A14,23-09-2025 10:23,25.3,37.95,Night,High,24.61,Clear,0,999,0.6965,19.59,Incident,57.54,40.48,20.56
T71,A40,23-09-2025 08:50,5.38,8.07,Morning Peak,High,25.1,Clear,0,880,0.2073,3.09,Traffic,11.16,8.42,9.86
T72,A12,28-09-2025 11:34,6.98,10.47,Night,Low,42.57,Clear,0,751,0.1007,-0.35,No Delay,10.12,7.7,5.22
T73,A25,02-09-2025 22:11,11.68,17.52,Afternoon,Low,51.66,Clear,0,974,0.0298,0.5,No Delay,18.02,8.32,11.3
T74,A1,02-09-2025 09:23,18.34,27.51,Night,Low,42.08,Clear,0,910,0.0185,0.31,No Delay,27.82,10.83,20.02
T75,A15,06-09-2025 16:44,11.01,16.52,Afternoon,Low,53.37,Clear,0,862,0.0331,0.81,No Delay,17.33,14.44,8.36
T76,A13,28-09-2025 09:08,24.75,37.12,Afternoon,Medium,36.77,Clear,0,806,0,14.02,Traffic,51.14,41.28,11.9
T77,A4,03-09-2025 05:05,4.31,6.46,Night,Medium,53.27,Clear,0,939,0.1627,0.35,No Delay,6.81,0.34,10.33
T78,A37,17-09-2025 12:45,25.09,37.63,Night,Medium,22.69,Fog,2,191,0.5337,14.61,Weather,52.24,1.61,54.69
T79,A46,02-09-2025 17:07,7.53,11.29,Night,Medium,44.44,Fog,2,176,0.4439,3.5,Weather,14.79,10.33,10.35
T80,A6,09-09-2025 14:34,6.53,9.79,Evening Peak,High,11.05,Clear,0,1049,1.0118,5.94,Incident,15.73,5.54,17.75
T81,A12,16-09-2025 14:42,7.76,11.64,Morning Peak,High,30.26,Fog,2,257,0.2704,4.29,Weather,15.93,13.66,6.41
T82,A30,11-09-2025 15:24,29.95,44.93,Morning Peak,Medium,45.12,Fog,2,260,0.1804,10.5,Weather,55.43,45.2,16.47
T83,A26,19-09-2025 16:44,29.93,44.89,Morning Peak,High,21.69,Rain,1,507,1.2372,28.68,Incident,73.57,51.7,27.32
